lng,lat,pop_2001,per_capita_2001,msw_gen_tpd_2001,pop_2011,per_capita_2011,msw_gen_tpd_2011,city
77.43,8.18,208179 ,0.499 ,104 ,274380 ,0.570 ,156 ,Nagercoil
77.69,8.7304,433352 ,0.480 ,208 ,571158 ,0.548 ,313 ,Tirunelveli
76.58,8.89,380091 ,0.505 ,192 ,500960 ,0.576 ,289 ,Kollam
77.5543,9.4515,122307 ,0.464 ,57 ,161201 ,0.529 ,85 ,Rajapalayam
76.33,9.5,282675 ,0.503 ,142 ,372566 ,0.575 ,214 ,Alappuzha
78.12,9.92,1203095 ,0.300 ,361 ,1585679 ,0.342 ,543 ,Madurai
76.2239,10.015,1355972 ,0.670 ,909 ,1787171 ,0.765 ,1,366 ,Kochi
77.97,10.36,196955 ,0.502 ,99 ,259587 ,0.573 ,149 ,Dindigul
78.82,10.39,109217 ,0.531 ,58 ,143948 ,0.606 ,87 ,Pudukkottai
76.21,10.52,866354 ,0.177 ,153 ,1141855 ,0.202 ,230 ,Thrissur
72.6358,10.5593,10119 ,0.300 ,3 ,13337 ,0.342 ,5 ,Kavarati
79.13,10.79,215314 ,0.438 ,94 ,283784 ,0.500 ,142 ,Thanjavur
79.4,10.9805,160767 ,0.502 ,81 ,211891 ,0.573 ,121 ,Kumbakonam
76.95,11,1461139 ,0.570 ,833 ,1925781 ,0.650 ,1,253 ,Coimbatore
77.33,11.0804,550826 ,0.533 ,293 ,725989 ,0.608 ,441 ,Tiruppur
75.77,11.2504,880247 ,0.324 ,285 ,1160166 ,0.369 ,429 ,Kozhikode
77.73,11.35,389906 ,0.540 ,210 ,513896 ,0.616 ,316 ,Erode
79.48,11.62,138035 ,0.392 ,54 ,181930 ,0.447 ,81 ,Neyveli
92.736,11.667,99984 ,0.760 ,76 ,131779 ,0.867 ,114 ,Port Blair
78.1801,11.67,751438 ,0.446 ,335 ,990395 ,0.509 ,504 ,Salem
79.77,11.7204,158634 ,0.497 ,79 ,209080 ,0.567 ,119 ,Cuddalore
79.83,11.935,505959 ,0.590 ,299 ,666854 ,0.673 ,449 ,Pondicherry
79.1,12.2604,130567 ,0.422 ,55 ,172087 ,0.482 ,83 ,Tiruvannamalai
76.66,12.31,799228 ,0.459 ,367 ,1053383 ,0.524 ,552 ,Mysore
76.89,12.54,131179 ,0.399 ,52 ,172894 ,0.456 ,79 ,Mandya
74.85,12.9,539387 ,0.500 ,270 ,710912 ,0.570 ,405 ,Mangalore
79.15,12.9204,386746 ,0.502 ,194 ,509731 ,0.573 ,292 ,Vellore
76.08,13.01,133262 ,0.457 ,61 ,175639 ,0.521 ,92 ,Hassan
80.28,13.09,6560242 ,0.620 ,4,067 ,8646399 ,0.708 ,6,118 ,Chennai
80.17,13.11,310967 ,0.229 ,160 ,409855 ,0.261 ,107 ,Ambattur
78.1334,13.1337,113907 ,0.498 ,57 ,150129 ,0.568 ,85 ,Kolar
75.76,13.32,101251 ,0.536 ,55 ,133449 ,0.612 ,82 ,Chikmagalur
77.1,13.34,248929 ,0.502 ,125 ,328088 ,0.573 ,188 ,Tumkur
